Struthio camelus,Ostrich,TC000001
Ianthocincla poecilorhyncha,Rusty Laughingthrush,TC009604
Ianthocincla berthemyi,Buffy Laughingthrush,TC009605
Ianthocincla mitrata,Chestnut-capped Laughingthrush,TC012362
Ianthocincla treacheri,Chestnut-hooded Laughingthrush,TC013107
Ianthocincla sannio,White-browed Laughingthrush,TC009611
Ianthocincla lanceolata,Chinese Babax,TC009797
Ianthocincla waddelli,Giant Babax,TC009800
Ianthocincla koslowi,Tibetan Babax,TC009801
Trochalopteron cachinnans,Black-chinned Laughingthrush,TC009612
Trochalopteron fairbanki,Kerala Laughingthrush,TC013712
Trochalopteron lineatum,Streaked Laughingthrush,TC009614
Trochalopteron imbricatum,Bhutan Laughingthrush,TC009615
Trochalopteron virgatum,Striped Laughingthrush,TC009616
Trochalopteron subunicolor,Scaly Laughingthrush,TC009617
Trochalopteron austeni,Brown-capped Laughingthrush,TC009618
Trochalopteron squamatum,Blue-winged Laughingthrush,TC009619
Trochalopteron elliotii,Elliot's Laughingthrush,TC009620
Trochalopteron variegatum,Variegated Laughingthrush,TC009621
Trochalopteron henrici,Prince Henry's Laughingthrush,TC009622
Trochalopteron affine,Black-faced Laughingthrush,TC009623
Trochalopteron morrisonianum,White-whiskered Laughingthrush,TC009624
Trochalopteron erythrocephalum,Chestnut-crowned Laughingthrush,TC009625
Trochalopteron chrysopterum,Assam Laughingthrush,TC009626
Trochalopteron melanostigma,Silver-eared Laughingthrush,TC009627
Trochalopteron peninsulae,Malayan Laughingthrush,TC009628
Trochalopteron ngoclinhensis,Golden-winged Laughingthrush,TC009629
Trochalopteron yersini,Collared Laughingthrush,TC009630
Trochalopteron formosum,Red-winged Laughingthrush,TC009631
Trochalopteron milnei,Red-tailed Laughingthrush,TC009632
Heterophasia capistrata,Rufous Sibia,TC009856
Heterophasia gracilis,Gray Sibia,TC009857
Heterophasia melanoleuca,Black-backed Sibia,TC009858
Heterophasia desgodinsi,Black-headed Sibia,TC009859
Heterophasia auricularis,White-eared Sibia,TC009860
Heterophasia pulchella,Beautiful Sibia,TC009861
Heterophasia picaoides,Long-tailed Sibia,TC009862
Leiothrix argentauris,Silver-eared Mesia,TC009802
Leiothrix lutea,Red-billed Leiothrix,TC009803
Minla ignotincta,Red-tailed Minla,TC009822
Minla annectens,Rufous-backed Sibia,TC009855
Crocias langbianis,Gray-crowned Crocias,TC009853
Crocias albonotatus,Spotted Crocias,TC009854
Liocichla omeiensis,Gray-faced Liocichla,TC009634
Liocichla bugunorum,Bugun Liocichla,TC009635
Liocichla steerii,Steere's Liocichla,TC009636
Liocichla phoenicea,Red-faced Liocichla,TC012714
Liocichla ripponi,Scarlet-faced Liocichla,TC012715
Actinodura sodangorum,Black-crowned Barwing,TC009815
Actinodura nipalensis,Hoary-throated Barwing,TC009816
Actinodura waldeni,Streak-throated Barwing,TC009817
Actinodura souliei,Streaked Barwing,TC009818
Actinodura morrisoniana,Taiwan Barwing,TC009819
Actinodura egertoni,Rusty-fronted Barwing,TC009813
Actinodura ramsayi,Spectacled Barwing,TC009814
Actinodura cyanouroptera,Blue-winged Minla,TC009820
Actinodura strigula,Chestnut-tailed Minla,TC009821
Promerops gurneyi,Gurney's Sugarbird,TC009032
Promerops cafer,Cape Sugarbird,TC009033
Modulatrix stictigula,Spot-throat,TC009638
Arcanator orostruthus,Dapple-throat,TC009639
Kakamega poliothorax,Gray-chested Illadopsis,TC009670
Irena puella,Asian Fairy-bluebird,TC009034
Irena cyanogastra,Philippine Fairy-bluebird,TC009035
Hyliota flavigaster,Yellow-bellied Hyliota,TC009036
Hyliota australis,Southern Hyliota,TC009037
Hyliota usambarae,Usambara Hyliota,TC009038
Hyliota violacea,Violet-backed Hyliota,TC009039
Empidornis semipartitus,Silverbird,TC009040
Bradornis pallidus,Pale Flycatcher,TC009041
Bradornis infuscatus,Chat Flycatcher,TC009042
Bradornis mariquensis,Mariqua Flycatcher,TC009043
Bradornis microrhynchus,Grayish Flycatcher,TC009044
Melaenornis brunneus,Angola Slaty-Flycatcher,TC009045
Melaenornis fischeri,White-eyed Slaty-Flycatcher,TC009046
Melaenornis chocolatinus,Abyssinian Slaty-Flycatcher,TC009047
Melaenornis edolioides,Northern Black-Flycatcher,TC009048
Melaenornis pammelaina,Southern Black-Flycatcher,TC009049
Melaenornis ardesiacus,Yellow-eyed Black-Flycatcher,TC009050
Melaenornis annamarulae,Nimba Flycatcher,TC009051
Fraseria ocreata,African Forest-Flycatcher,TC009052
Fraseria cinerascens,White-browed Forest-Flycatcher,TC009053
Sigelus silens,Fiscal Flycatcher,TC009054
Muscicapa striata,Spotted Flycatcher,TC009066
Muscicapa gambagae,Gambaga Flycatcher,TC009067
Muscicapa sibirica,Dark-sided Flycatcher,TC009068
Muscicapa latirostris,Asian Brown Flycatcher,TC009070
Muscicapa williamsoni,Brown-streaked Flycatcher,TC009071
Muscicapa griseisticta,Gray-streaked Flycatcher,TC009069
Muscicapa randi,Ashy-breasted Flycatcher,TC009072
Muscicapa segregata,Sumba Brown Flycatcher,TC009073
Muscicapa ruficauda,Rusty-tailed Flycatcher,TC009074
Muscicapa muttui,Brown-breasted Flycatcher,TC009075
Muscicapa ferruginea,Ferruginous Flycatcher,TC009076
Muscicapa ussheri,Ussher's Flycatcher,TC009077
Muscicapa infuscata,Sooty Flycatcher,TC009078
Muscicapa boehmi,Boehm's Flycatcher,TC009079
Muscicapa aquatica,Swamp Flycatcher,TC009080
Muscicapa olivascens,Olivaceous Flycatcher,TC009081
Muscicapa lendu,Chapin's Flycatcher,TC009082
Muscicapa adusta,Dusky-brown Flycatcher,TC009083
Muscicapa epulata,Little Flycatcher,TC009084
Muscicapa sethsmithi,Yellow-footed Flycatcher,TC009085
Muscicapa comitata,Dusky-blue Flycatcher,TC009086
Muscicapa tessmanni,Tessmann's Flycatcher,TC009087
Muscicapa cassini,Cassin's Flycatcher,TC009088
Muscicapa caerulescens,Ashy Flycatcher,TC009089
Myioparus griseigularis,Gray-throated Tit-Flycatcher,TC009091
Myioparus plumbeus,Gray Tit-Flycatcher,TC009092
Humblotia flavirostris,Grand Comoro Flycatcher,TC009093
Alethe diademata,Fire-crested Alethe,TC009565
Cercotrichas coryphaeus,Karoo Scrub-Robin,TC009230
Cercotrichas leucosticta,Forest Scrub-Robin,TC009221
Cercotrichas signata,Brown Scrub-Robin,TC009224
Cercotrichas quadrivirgata,Bearded Scrub-Robin,TC009222
Cercotrichas barbata,Miombo Scrub-Robin,TC009223
Cercotrichas podobe,Black Scrub-Robin,TC009231
Cercotrichas galactotes,Rufous-tailed Scrub-Robin,TC009227
Cercotrichas minor,African Scrub-Robin,TC009229
Cercotrichas paena,Kalahari Scrub-Robin,TC009228
Cercotrichas hartlaubi,Brown-backed Scrub-Robin,TC009225
Cercotrichas leucophrys,Red-backed Scrub-Robin,TC009226
Namibornis herero,Herero Chat,TC009233
Copsychus fulicatus,Indian Robin,TC009242
Copsychus saularis,Oriental Magpie-Robin,TC009235
Copsychus pyrropygus,Rufous-tailed Shama,TC009241
Copsychus albospecularis,Madagascar Magpie-Robin,TC009234
Copsychus sechellarum,Seychelles Magpie-Robin,TC009237
Copsychus mindanensis,Philippine Magpie-Robin,TC012683
Copsychus malabaricus,White-rumped Shama,TC009236
Copsychus albiventris,Andaman Shama,TC012226
Copsychus luzoniensis,White-browed Shama,TC009238
Copsychus superciliaris,Visayan Shama,TC013063
Copsychus niger,White-vented Shama,TC009239
Copsychus cebuensis,Black Shama,TC009240
Anthipes monileger,White-gorgeted Flycatcher,TC009111
Anthipes solitaris,Rufous-browed Flycatcher,TC009112
Cyornis sanfordi,Matinan Flycatcher,TC009143
Cyornis hoevelli,Blue-fronted Flycatcher,TC009144
Cyornis hyacinthinus,Timor Blue-Flycatcher,TC009145
Cyornis concretus,White-tailed Flycatcher,TC009146
Cyornis ruckii,Rueck's Blue-Flycatcher,TC009147
Cyornis herioti,Blue-breasted Flycatcher,TC009148
Cyornis hainanus,Hainan Blue-Flycatcher,TC009149
Cyornis pallipes,White-bellied Blue-Flycatcher,TC009150
Cyornis poliogenys,Pale-chinned Blue-Flycatcher,TC009151
Cyornis unicolor,Pale Blue-Flycatcher,TC009152
Cyornis rubeculoides,Blue-throated Flycatcher,TC009153
Cyornis magnirostris,Large Blue-Flycatcher,TC012587
Cyornis banyumas,Hill Blue-Flycatcher,TC009154
Cyornis caerulatus,Long-billed Blue-Flycatcher,TC009155
Cyornis turcosus,Malaysian Blue-Flycatcher,TC009156
Cyornis lemprieri,Palawan Blue-Flycatcher,TC009157
Cyornis superbus,Bornean Blue-Flycatcher,TC009158
Cyornis tickelliae,Tickell's Blue-Flycatcher,TC009159
Cyornis rufigastra,Mangrove Blue-Flycatcher,TC009160
Cyornis omissus,Sulawesi Blue-Flycatcher,TC009161
Cyornis brunneatus,Brown-chested Jungle-Flycatcher,TC009057
Cyornis nicobaricus,Nicobar Jungle-Flycatcher,TC012662
Cyornis umbratilis,Gray-chested Jungle-Flycatcher,TC009058
Cyornis olivaceus,Fulvous-chested Jungle-Flycatcher,TC009059
Cyornis oscillans,Flores Jungle-Flycatcher,TC009056
Cyornis ruficauda,Chestnut-tailed Jungle-Flycatcher,TC009060
Cyornis colonus,Henna-tailed Jungle-Flycatcher,TC009061
Niltava grandis,Large Niltava,TC009136
Niltava macgrigoriae,Small Niltava,TC009137
Niltava davidi,Fujian Niltava,TC009138
Niltava sundara,Rufous-bellied Niltava,TC009139
Niltava sumatrana,Rufous-vented Niltava,TC009140
Niltava vivida,Vivid Niltava,TC009141
Muscicapella hodgsoni,Pygmy Blue-Flycatcher,TC009163
Cyanoptila cyanomelana,Blue-and-white Flycatcher,TC009130
Eumyias sordidus,Dull-blue Flycatcher,TC009132
Eumyias albicaudatus,Nilgiri Flycatcher,TC009134
Eumyias indigo,Indigo Flycatcher,TC009135
Eumyias thalassinus,Verditer Flycatcher,TC009131
Eumyias additus,Buru Jungle-Flycatcher,TC009055
Eumyias panayensis,Island Flycatcher,TC009133
Cossyphicula roberti,White-bellied Robin-Chat,TC009201
Cossypha isabellae,Mountain Robin-Chat,TC009202
Cossypha archeri,Archer's Robin-Chat,TC009203
Cossypha anomala,Olive-flanked Robin-Chat,TC009204
Cossypha caffra,Cape Robin-Chat,TC009205
Cossypha humeralis,White-throated Robin-Chat,TC009206
Cossypha cyanocampter,Blue-shouldered Robin-Chat,TC009207
Cossypha polioptera,Gray-winged Robin-Chat,TC009208
Cossypha semirufa,Rueppell's Robin-Chat,TC009209
Cossypha heuglini,White-browed Robin-Chat,TC009210
Cossypha natalensis,Red-capped Robin-Chat,TC009211
Cossypha dichroa,Chorister Robin-Chat,TC009212
Cossypha heinrichi,White-headed Robin-Chat,TC009213
Cossypha niveicapilla,Snowy-crowned Robin-Chat,TC009214
Cossypha albicapilla,White-crowned Robin-Chat,TC009215
Xenocopsychus ansorgei,Angola Cave-Chat,TC009217
Cichladusa arquata,Collared Palm-Thrush,TC009218
Cichladusa ruficauda,Rufous-tailed Palm-Thrush,TC009219
Cichladusa guttata,Spotted Morning-Thrush,TC009220
Erithacus rubecula,European Robin,TC009176
Pogonocichla stellata,White-starred Robin,TC009164
Swynnertonia swynnertoni,Swynnerton's Robin,TC009165
Pseudalethe poliocephala,Brown-chested Alethe,TC009561
Pseudalethe poliophrys,Red-throated Alethe,TC009562
Pseudalethe choloensis,Cholo Alethe,TC009563
Pseudalethe fuelleborni,White-chested Alethe,TC009564
Stiphrornis erythrothorax,Forest Robin,TC009166
Sheppardia bocagei,Bocage's Akalat,TC009167
Sheppardia cyornithopsis,Lowland Akalat,TC009168
Sheppardia aequatorialis,Equatorial Akalat,TC009169
Sheppardia sharpei,Sharpe's Akalat,TC009170
Sheppardia gunningi,East Coast Akalat,TC009171
Sheppardia gabela,Gabela Akalat,TC009172
Sheppardia montana,Usambara Akalat,TC009173
Sheppardia lowei,Iringa Akalat,TC009174
Sheppardia aurantiithorax,Rubeho Akalat,TC009175
Vauriella gularis,Eyebrowed Jungle-Flycatcher,TC009062
Vauriella insignis,Rusty-flanked Jungle-Flycatcher,TC009063
Vauriella albigularis,Negros Jungle-Flycatcher,TC009064
Vauriella goodfellowi,Mindanao Jungle-Flycatcher,TC009065
Heinrichia calligyna,Great Shortwing,TC009560
Brachypteryx hyperythra,Rusty-bellied Shortwing,TC009555
Brachypteryx stellata,Gould's Shortwing,TC009556
Brachypteryx major,Nilgiri Shortwing,TC009557
Brachypteryx albiventris,White-bellied Shortwing,TC012878
Brachypteryx leucophrys,Lesser Shortwing,TC009558
Brachypteryx montana,White-browed Shortwing,TC009559
Larvivora sibilans,Rufous-tailed Robin,TC009179
Larvivora ruficeps,Rufous-headed Robin,TC009189
Larvivora akahige,Japanese Robin,TC009177
Larvivora komadori,Ryukyu Robin,TC009178
Larvivora brunnea,Indian Blue Robin,TC009192
Larvivora cyane,Siberian Blue Robin,TC009193
Irania gutturalis,White-throated Robin,TC009200
Luscinia luscinia,Thrush Nightingale,TC009180
Luscinia megarhynchos,Common Nightingale,TC009181
Luscinia phaenicuroides,White-bellied Redstart,TC009258
Luscinia svecica,Bluethroat,TC009185
Myophonus blighi,Sri Lanka Whistling-Thrush,TC009352
Myophonus melanurus,Shiny Whistling-Thrush,TC009353
Myophonus glaucinus,Javan Whistling-Thrush,TC009354
Myophonus castaneus,Chestnut-winged Whistling-Thrush,TC009355
Myophonus borneensis,Bornean Whistling-Thrush,TC009356
Myophonus robinsoni,Malayan Whistling-Thrush,TC009357
Myophonus horsfieldii,Malabar Whistling-Thrush,TC009358
Myophonus insularis,Taiwan Whistling-Thrush,TC009359
Myophonus caeruleus,Blue Whistling-Thrush,TC009360
Enicurus scouleri,Little Forktail,TC009263
Enicurus leschenaulti,White-crowned Forktail,TC009268
Enicurus maculatus,Spotted Forktail,TC009269
Enicurus velatus,Sunda Forktail,TC009264
Enicurus ruficapillus,Chestnut-naped Forktail,TC009265
Enicurus immaculatus,Black-backed Forktail,TC009266
Enicurus schistaceus,Slaty-backed Forktail,TC009267
Calliope pectardens,Firethroat,TC009191
Calliope obscura,Black-throated Blue Robin,TC009190
Calliope calliope,Siberian Rubythroat,TC009183
Calliope pectoralis,White-tailed Rubythroat,TC009184
Cinclidium leucurum,White-tailed Robin,TC009259
Cinclidium diana,Sunda Robin,TC009260
Cinclidium frontale,Blue-fronted Robin,TC009261
Grandala coelicolor,Grandala,TC009262
Tarsiger cyanurus,Red-flanked Bluetail,TC009194
Tarsiger rufilatus,Himalayan Bluetail,TC009195
Tarsiger hyperythrus,Rufous-breasted Bush-Robin,TC009198
Tarsiger indicus,White-browed Bush-Robin,TC009197
Tarsiger chrysaeus,Golden Bush-Robin,TC009196
Tarsiger johnstoniae,Collared Bush-Robin,TC009199
Ficedula dumetoria,Rufous-chested Flycatcher,TC009113
Ficedula riedeli,Tanimbar Flycatcher,TC012729
Ficedula rufigula,Rufous-throated Flycatcher,TC009114
Ficedula buruensis,Cinnamon-chested Flycatcher,TC009115
Ficedula basilanica,Little Slaty Flycatcher,TC009116
Ficedula henrici,Damar Flycatcher,TC009117
Ficedula harterti,Sumba Flycatcher,TC009118
Ficedula platenae,Palawan Flycatcher,TC009119
Ficedula crypta,Russet-tailed Flycatcher,TC009120
Ficedula disposita,Furtive Flycatcher,TC009121
Ficedula bonthaina,Lompobattang Flycatcher,TC009122
Ficedula westermanni,Little Pied Flycatcher,TC009123
Ficedula hypoleuca,European Pied Flycatcher,TC009094
Ficedula timorensis,Black-banded Flycatcher,TC009128
Ficedula speculigera,Atlas Flycatcher,TC009095
Ficedula albicollis,Collared Flycatcher,TC009096
Ficedula semitorquata,Semicollared Flycatcher,TC009097
Ficedula albicilla,Taiga Flycatcher,TC009108
Ficedula subrubra,Kashmir Flycatcher,TC009109
Ficedula superciliaris,Ultramarine Flycatcher,TC009124
Ficedula strophiata,Rufous-gorgeted Flycatcher,TC009106
Ficedula zanthopygia,Korean Flycatcher,TC009098
Ficedula narcissina,Narcissus Flycatcher,TC009099
Ficedula mugimaki,Mugimaki Flycatcher,TC009104
Ficedula hodgsonii,Slaty-backed Flycatcher,TC009105
Ficedula hyperythra,Snowy-browed Flycatcher,TC009110
Ficedula parva,Red-breasted Flycatcher,TC009107
Ficedula tricolor,Slaty-blue Flycatcher,TC009125
Ficedula nigrorufa,Black-and-rufous Flycatcher,TC009126
Ficedula sapphira,Sapphire Flycatcher,TC009127
Phoenicurus frontalis,Blue-fronted Redstart,TC009253
Phoenicurus fuliginosus,Plumbeous Redstart,TC009256
Phoenicurus bicolor,Luzon Redstart,TC009257
Phoenicurus erythronotus,Rufous-backed Redstart,TC009244
Phoenicurus leucocephalus,White-capped Redstart,TC009255
Phoenicurus alaschanicus,Ala Shan Redstart,TC009243
Phoenicurus caeruleocephala,Blue-capped Redstart,TC009245
Phoenicurus moussieri,Moussier's Redstart,TC009251
Phoenicurus phoenicurus,Common Redstart,TC009247
Phoenicurus hodgsoni,Hodgson's Redstart,TC009248
Phoenicurus schisticeps,White-throated Redstart,TC009249
Phoenicurus erythrogastrus,White-winged Redstart,TC009252
Phoenicurus ochruros,Black Redstart,TC009246
Phoenicurus auroreus,Daurian Redstart,TC009250
Monticola rufocinereus,Little Rock-Thrush,TC009338
Monticola rufiventris,Chestnut-bellied Rock-Thrush,TC009341
Monticola gularis,White-throated Rock-Thrush,TC009340
Monticola cinclorhynchus,Blue-capped Rock-Thrush,TC009339
Monticola brevipes,Short-toed Rock-Thrush,TC009351
Monticola explorator,Sentinel Rock-Thrush,TC009350
Monticola sharpei,Forest Rock-Thrush,TC013168
Monticola imerina,Littoral Rock-Thrush,TC009349
Monticola saxatilis,Rufous-tailed Rock-Thrush,TC009344
Monticola solitarius,Blue Rock-Thrush,TC009345
Monticola angolensis,Miombo Rock-Thrush,TC009342
Monticola rupestris,Cape Rock-Thrush,TC009343
Saxicola rubetra,Whinchat,TC009300
Saxicola macrorhynchus,White-browed Bushchat,TC009301
Saxicola insignis,White-throated Bushchat,TC009302
Saxicola dacotiae,Fuerteventura Stonechat,TC009303
Saxicola rubicola,European Stonechat,TC009305
Saxicola maurus,Siberian Stonechat,TC013292
Saxicola torquatus,African Stonechat,TC013293
Saxicola tectes,Reunion Stonechat,TC009308
Saxicola leucurus,White-tailed Stonechat,TC009309
Saxicola caprata,Pied Bushchat,TC009310
Saxicola jerdoni,Jerdon's Bushchat,TC009311
Saxicola ferreus,Gray Bushchat,TC009312
Saxicola gutturalis,Timor Bushchat,TC009313
Saxicola bifasciatus,Buff-streaked Bushchat,TC009314
Pinarornis plumosus,Boulder Chat,TC009333
Myrmecocichla tholloni,Congo Moorchat,TC009324
Myrmecocichla aethiops,Northern Anteater-Chat,TC009325
Myrmecocichla formicivora,Southern Anteater-Chat,TC009326
Myrmecocichla nigra,Sooty Chat,TC009327
Myrmecocichla melaena,Rueppell's Chat,TC009328
Myrmecocichla albifrons,White-fronted Black-Chat,TC009329
Myrmecocichla arnotti,White-headed Black-Chat,TC009330
Myrmecocichla collaris,Ruaha Chat,TC012724
Thamnolaea cinnamomeiventris,Mocking Cliff-Chat,TC009331
Thamnolaea semirufa,White-winged Cliff-Chat,TC009332
Cercomela sinuata,Sicklewing Chat,TC009315
Cercomela schlegelii,Karoo Chat,TC009316
Cercomela tractrac,Tractrac Chat,TC009317
Cercomela familiaris,Familiar Chat,TC009318
Cercomela scotocerca,Brown-tailed Chat,TC009319
Cercomela fusca,Indian Chat,TC009320
Cercomela dubia,Sombre Chat,TC009321
Cercomela melanura,Blackstart,TC009322
Cercomela sordida,Moorland Chat,TC009323
Oenanthe leucopyga,White-tailed Wheatear,TC009274
Oenanthe monacha,Hooded Wheatear,TC009275
Oenanthe albonigra,Hume's Wheatear,TC009276
Oenanthe leucura,Black Wheatear,TC009277
Oenanthe monticola,Mountain Wheatear,TC009278
Oenanthe phillipsi,Somali Wheatear,TC009279
Oenanthe oenanthe,Northern Wheatear,TC009280
Oenanthe lugens,Mourning Wheatear,TC009284
Oenanthe finschii,Finsch's Wheatear,TC009285
Oenanthe picata,Variable Wheatear,TC009286
Oenanthe moesta,Red-rumped Wheatear,TC009287
Oenanthe pleschanka,Pied Wheatear,TC009288
Oenanthe cypriaca,Cyprus Wheatear,TC009289
Oenanthe hispanica,Black-eared Wheatear,TC009290
Oenanthe xanthoprymna,Red-tailed Wheatear,TC009291
Oenanthe deserti,Desert Wheatear,TC009294
Oenanthe pileata,Capped Wheatear,TC009295
Oenanthe isabellina,Isabelline Wheatear,TC009296
Oenanthe bottae,Red-breasted Wheatear,TC009297
Oenanthe heuglini,Heuglin's Wheatear,TC009298
Neocossyphus fraseri,Rufous Flycatcher-Thrush,TC009334
Neocossyphus finschii,Finsch's Flycatcher-Thrush,TC009335
Neocossyphus rufus,Red-tailed Ant-Thrush,TC009336
Neocossyphus poensis,White-tailed Ant-Thrush,TC009337
Geomalia heinrichi,Geomalia,TC009361
Geokichla sibirica,Siberian Thrush,TC009375
Geokichla wardii,Pied Thrush,TC009370
Geokichla guttata,Spotted Ground-Thrush,TC009383
Geokichla camaronensis,Black-eared Ground-Thrush,TC009380
Geokichla princei,Gray Ground-Thrush,TC009381
Geokichla crossleyi,Crossley's Ground-Thrush,TC009378
Geokichla oberlaenderi,Oberlaender's Ground-Thrush,TC009382
Geokichla piaggiae,Abyssinian Ground-Thrush,TC009376
Geokichla tanganjicae,Kivu Ground-Thrush,TC009377
Geokichla gurneyi,Orange Ground-Thrush,TC009379
Geokichla spiloptera,Spot-winged Thrush,TC009384
Geokichla cinerea,Ashy Thrush,TC009371
Geokichla dumasi,Buru Thrush,TC009363
Geokichla joiceyi,Seram Thrush,TC009364
Geokichla interpres,Chestnut-capped Thrush,TC009365
Geokichla leucolaema,Enggano Thrush,TC009366
Geokichla dohertyi,Chestnut-backed Thrush,TC009367
Geokichla peronii,Orange-banded Thrush,TC009372
Geokichla schistacea,Slaty-backed Thrush,TC009362
Geokichla erythronota,Rusty-backed Thrush,TC009368
Geokichla mendeni,Red-and-black Thrush,TC009369
Geokichla citrina,Orange-headed Thrush,TC009373
Zoothera dixoni,Long-tailed Thrush,TC009387
Zoothera mollissima,Plain-backed Thrush,TC009386
Zoothera marginata,Dark-sided Thrush,TC009401
Zoothera monticola,Long-billed Thrush,TC009400
Zoothera everetti,Everett's Thrush,TC009374
Zoothera andromedae,Sunda Thrush,TC009385
Zoothera dauma,Scaly Thrush,TC009388
Zoothera terrestris,Bonin Thrush,TC009402
Zoothera margaretae,San Cristobal Thrush,TC009399
Zoothera lunulata,Olive-tailed Thrush,TC009396
Zoothera talaseae,New Britain Thrush,TC009398
Zoothera heinei,Russet-tailed Thrush,TC009397
Zoothera machiki,Fawn-breasted Thrush,TC009395
Cataponera turdoides,Sulawesi Thrush,TC009404
Nesocichla eremita,Tristan Thrush,TC009405
Sialia sialis,Eastern Bluebird,TC009406
Sialia mexicana,Western Bluebird,TC009409
Sialia currucoides,Mountain Bluebird,TC009411
Myadestes townsendi,Townsend's Solitaire,TC009413
Myadestes occidentalis,Brown-backed Solitaire,TC009414
Myadestes elisabeth,Cuban Solitaire,TC009415
Myadestes genibarbis,Rufous-throated Solitaire,TC009416
Myadestes melanops,Black-faced Solitaire,TC009419
Myadestes coloratus,Varied Solitaire,TC009420
Myadestes unicolor,Slate-colored Solitaire,TC009421
Myadestes ralloides,Andean Solitaire,TC009422
Myadestes myadestinus,Kamao,TC009423
Myadestes woahensis,Amaui,TC009424
Myadestes lanaiensis,Olomao,TC009425
Myadestes obscurus,Omao,TC009426
Myadestes palmeri,Puaiohi,TC009427
Catharus gracilirostris,Black-billed Nightingale-Thrush,TC009428
Catharus aurantiirostris,Orange-billed Nightingale-Thrush,TC009429
Catharus fuscater,Slaty-backed Nightingale-Thrush,TC009432
Catharus occidentalis,Russet Nightingale-Thrush,TC009435
Catharus frantzii,Ruddy-capped Nightingale-Thrush,TC009436
Catharus mexicanus,Black-headed Nightingale-Thrush,TC009437
Catharus dryas,Spotted Nightingale-Thrush,TC009438
Catharus fuscescens,Veery,TC009439
Catharus minimus,Gray-cheeked Thrush,TC009440
Catharus bicknelli,Bicknell's Thrush,TC009441
Catharus ustulatus,Swainson's Thrush,TC009443
Catharus guttatus,Hermit Thrush,TC009446
Hylocichla mustelina,Wood Thrush,TC009451
Psophocichla litsitsirupa,Groundscraper Thrush,TC009452
Entomodestes coracinus,Black Solitaire,TC009453
Entomodestes leucotis,White-eared Solitaire,TC009454
Cichlopsis leucogenys,Rufous-brown Solitaire,TC009455
Turdus menachensis,Yemen Thrush,TC009456
Turdus ludoviciae,Somali Thrush,TC012781
Turdus helleri,Taita Thrush,TC012832
Turdus abyssinicus,Abyssinian Thrush,TC012214
Turdus roehli,Usambara Thrush,TC012855
Turdus bewsheri,Comoro Thrush,TC009459
Turdus libonyana,Kurrichane Thrush,TC009460
Turdus olivaceus,Olive Thrush,TC009457
Turdus smithi,Karoo Thrush,TC012576
Turdus olivaceofuscus,Sao Tome Thrush,TC012748
Turdus xanthorhynchus,Principe Thrush,TC012699
Turdus pelios,African Thrush,TC009461
Turdus tephronotus,African Bare-eyed Thrush,TC009462
Turdus hortulorum,Gray-backed Thrush,TC009463
Turdus unicolor,Tickell's Thrush,TC009464
Turdus dissimilis,Black-breasted Thrush,TC009465
Turdus cardis,Japanese Thrush,TC009466
Turdus albocinctus,White-collared Blackbird,TC009467
Turdus torquatus,Ring Ouzel,TC009468
Turdus boulboul,Gray-winged Blackbird,TC009472
Turdus merula,Eurasian Blackbird,TC009473
Turdus maximus,Tibetan Blackbird,TC012839
Turdus simillimus,Indian Blackbird,TC009475
Turdus poliocephalus,Island Thrush,TC009476
Turdus rubrocanus,Chestnut Thrush,TC009477
Turdus kessleri,White-backed Thrush,TC009478
Turdus feae,Gray-sided Thrush,TC009479
Turdus obscurus,Eyebrowed Thrush,TC009480
Turdus pallidus,Pale Thrush,TC009481
Turdus chrysolaus,Brown-headed Thrush,TC009482
Turdus celaenops,Izu Thrush,TC009483
Turdus atrogularis,Black-throated Thrush,TC009484
Turdus ruficollis,Red-throated Thrush,TC009486
Turdus eunomus,Dusky Thrush,TC009487
Turdus naumanni,Naumann's Thrush,TC009488
Turdus pilaris,Fieldfare,TC009490
Turdus iliacus,Redwing,TC009491
Turdus philomelos,Song Thrush,TC009492
Turdus mupinensis,Chinese Thrush,TC009493
Turdus viscivorus,Mistle Thrush,TC009494
Turdus nigrescens,Sooty Thrush,TC009495
Turdus infuscatus,Black Thrush,TC009496
Turdus plebejus,Mountain Thrush,TC009497
Turdus leucops,Pale-eyed Thrush,TC009498
Turdus falcklandii,Austral Thrush,TC009499
Turdus reevei,Plumbeous-backed Thrush,TC009502
Turdus flavipes,Yellow-legged Thrush,TC009503
Turdus leucomelas,Pale-breasted Thrush,TC009504
Turdus fumigatus,Cocoa Thrush,TC009505
Turdus hauxwelli,Hauxwell's Thrush,TC009508
Turdus obsoletus,Pale-vented Thrush,TC009511
Turdus rufiventris,Rufous-bellied Thrush,TC009512
Turdus grayi,Clay-colored Thrush,TC009513
Turdus nudigenis,Spectacled Thrush,TC009514
Turdus maculirostris,Ecuadorian Thrush,TC009515
Turdus sanchezorum,Varzea Thrush,TC009510
Turdus haplochrous,Unicolored Thrush,TC009517
Turdus jamaicensis,White-eyed Thrush,TC009516
Turdus lawrencii,Lawrence's Thrush,TC009518
Turdus amaurochalinus,Creamy-bellied Thrush,TC009519
Turdus ignobilis,Black-billed Thrush,TC009520
Turdus maranonicus,Mara�on Thrush,TC009521
Turdus fulviventris,Chestnut-bellied Thrush,TC009522
Turdus olivater,Black-hooded Thrush,TC009523
Turdus nigriceps,Slaty Thrush,TC009524
Turdus fuscater,Great Thrush,TC009527
